neurons,seed,accuracy
5,81,0.9333333333333333
5,82,0.9333333333333333
5,83,0.9777777777777777
5,84,0.9111111111111111
5,85,0.9555555555555556
5,86,1.0
5,87,0.8888888888888888
5,88,0.9555555555555556
5,89,0.9555555555555556
5,90,0.9777777777777777
10,81,0.9333333333333333
10,82,0.9555555555555556
10,83,0.9777777777777777
10,84,0.9111111111111111
10,85,0.9333333333333333
10,86,0.9555555555555556
10,87,0.8888888888888888
10,88,1.0
10,89,0.9111111111111111
10,90,0.9555555555555556
20,81,0.9555555555555556
20,82,0.9333333333333333
20,83,0.9555555555555556
20,84,0.9333333333333333
20,85,0.9333333333333333
20,86,0.9777777777777777
20,87,0.8888888888888888
20,88,1.0
20,89,0.9333333333333333
20,90,0.9777777777777777
50,81,0.9555555555555556
50,82,0.9777777777777777
50,83,0.9777777777777777
50,84,0.9111111111111111
50,85,0.9333333333333333
50,86,1.0
50,87,0.8888888888888888
50,88,1.0
50,89,0.9555555555555556
50,90,0.9555555555555556
